longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.057,28.522,4.429063119459897e-05,2.46972940658452e-05,6.725045386701822e-05,4.181599797448144e-05
77.067,28.522,2.752447289822157e-05,3.74144451598113e-06,9.237264021066947e-05,1.3371880413615145e-05
77.078,28.522,8.772128785494715e-05,3.695734221764724e-06,1.6359770143026251e-06,5.003389105695533e-06
77.088,28.522,7.339226431213319e-05,,2.792320992739405e-05,1.108260562432406e-06
77.098,28.522,0.0001157958031399,1.1917994015675504e-05,,1.2670269825321157e-05
77.109,28.522,5.027817223890452e-06,-1.2453644558263475e-05,0.0001790495880413,2.000089989451226e-05
77.119,28.522,8.260868526122067e-06,2.0563042198773477e-05,4.076689947396517e-05,1.82235635293182e-06
77.129,28.522,3.7240712117636576e-05,-1.1539658771653194e-05,3.770142939174548e-05,1.532215355837252e-05
77.14,28.522,4.159835043537896e-06,-1.0368891025791529e-06,9.751699963089775e-07,1.1150101499879383e-06
77.15,28.522,3.399825072847307e-05,4.1620744013926014e-05,2.6881434678216465e-06,-2.6190020889771404e-06
77.161,28.522,7.892941539466847e-06,5.17944442890439e-07,0.000115955772344,1.3661086995853113e-05
77.171,28.522,1.482696461607702e-05,-1.5788207747391425e-05,0.0001476277393521,3.4438398870406672e-06
77.181,28.522,6.1175933296908624e-06,-1.725881134007068e-06,3.0383393095689822e-05,3.893264420185005e-06
77.192,28.522,2.319347731827293e-05,-1.4171365364745723e-05,2.254239007015713e-05,1.3498251973942388e-05
77.202,28.522,-1.2375613778203842e-06,,0.0001198054742417,2.9589991754619405e-05
77.213,28.522,4.388108209241182e-06,,0.0001078647110261,2.011857759498525e-05
77.223,28.522,4.4968353904550895e-05,-1.478646845498588e-05,-1.204237264573749e-06,8.129137313517276e-06
77.233,28.522,0.0001401896297466,1.521069134469144e-05,1.2178446013422216e-05,7.270600690389983e-06
77.244,28.522,1.799236451915931e-05,,2.13334419640887e-06,9.613225302018693e-06
77.254,28.522,3.149606709484942e-05,,4.60496376035735e-05,1.0007761375163682e-05
77.264,28.522,8.748839172767475e-05,2.938214674941264e-05,6.818469046265818e-06,1.1550177077879198e-05
77.275,28.522,4.230282502248883e-05,,5.125788084114902e-05,1.9609589799074456e-05
77.285,28.522,7.93092476669699e-05,3.533767448971048e-05,4.5423355913953856e-05,6.160099928820273e-06
77.296,28.522,9.73517558122694e-07,2.628709080454428e-05,3.126021329080686e-05,8.608157259004656e-06
77.306,28.522,5.806009721709415e-05,,0.0002083918079733,1.245680687134154e-05
77.316,28.522,3.815148011199199e-05,,8.060806976573076e-06,1.58417005877709e-05
77.327,28.522,6.832286453573033e-05,,7.724642273387872e-06,7.853198439988773e-06
77.337,28.522,3.539212411851622e-05,-2.4049128114711493e-05,4.270276258466765e-05,1.0269830454490148e-05
76.88,28.531,0.0001019717892631,1.2546513517008862e-06,1.0128803296538536e-05,6.876387942611473e-06
76.891,28.531,3.433656456763856e-05,,1.2878041161457077e-05,2.5137243937933818e-05
76.901,28.531,1.2237293049111033e-05,,3.060036397073418e-05,1.803255690902006e-05
76.911,28.531,7.760860898997635e-05,-2.169105027860496e-05,0.0001096084160963,8.118765254039317e-05
76.922,28.531,9.422548828297296e-06,1.3181044778320938e-05,1.2193294423923362e-05,9.968715858121868e-06
76.932,28.531,4.240885027684271e-05,,3.022560304088984e-05,1.533478280180134e-05
76.943,28.531,7.346918664552504e-06,-2.070401023956947e-05,1.981382774829399e-05,1.3766109077550936e-05
76.953,28.531,1.3792720892524812e-05,-2.6618219635565765e-05,1.0776504495879635e-05,1.0227767234027851e-05
76.963,28.531,6.014288828737335e-06,3.958220986532979e-05,0.0001143173431046,1.3190560821385588e-05
76.974,28.531,3.87914915336296e-05,9.02518422662979e-06,0.0001032290892908,1.0945431313302834e-05
76.984,28.531,1.4391396689461544e-05,3.802026913035661e-05,1.730382973619271e-05,1.576574140926823e-05
76.994,28.531,0.0001763622422004,,0.0001155066856881,1.3337222299014684e-05
77.036,28.531,4.198294845991768e-05,2.46972940658452e-05,7.398678280878812e-05,2.8664209821727127e-05
77.046,28.531,8.550800885132048e-06,,7.517092853959184e-06,2.8472257326939143e-05
77.057,28.531,4.51273845101241e-05,1.6606451026746072e-05,1.1560753591766115e-05,5.513618816621602e-06
77.067,28.531,1.1669630112010054e-05,-1.3538566236093176e-05,0.0001069608624675,1.881060779851396e-05
77.078,28.531,4.5803542889188975e-05,3.274619666626677e-05,6.583406502613798e-05,9.55046107264934e-06
77.088,28.531,7.238570833578706e-05,,1.2139389582443982e-05,1.3309111636772286e-05
77.098,28.531,3.2820418709889054e-05,1.6326355762430467e-05,3.4040494938381016e-05,1.943225106515456e-05
77.109,28.531,1.2109555427741723e-05,1.0813890185090712e-05,2.425756974844262e-05,3.31766095769126e-05
77.119,28.531,7.475495658582076e-05,3.2648360956955003e-06,3.338713213452138e-05,9.50225512497127e-06
77.129,28.531,1.1918762538698502e-05,-3.504770575091243e-05,0.0001427542883902,1.0878055945795497e-05
77.14,28.531,3.4135227906517684e-05,2.161970041925088e-05,6.268106517381966e-05,9.188533113047017e-06
77.15,28.531,0.0001270624343305,1.4413722965400666e-05,3.3140786399599165e-06,9.34092986426549e-06
77.161,28.531,1.2756549949699549e-05,6.950943316041958e-06,-9.666790674600634e-07,1.80070819624234e-05
77.171,28.531,8.39415497466689e-06,1.6194588170037605e-05,3.975251729571028e-06,7.561930488009239e-06
77.181,28.531,3.161925997119397e-05,-5.309121206664713e-06,4.3835236283484846e-05,1.5033258932817262e-05
77.192,28.531,2.7325901100994088e-05,2.776427754724864e-05,1.8383882434136467e-06,3.231443770346232e-05
77.202,28.531,4.336504207458347e-05,-1.0592366379569285e-06,9.905538172461092e-05,1.495565356890438e-05
77.213,28.531,1.1042282494599933e-05,,1.0900793313339818e-05,1.3544484318117613e-05
77.223,28.531,-2.84760290014674e-06,6.218418093340006e-06,0.0001003966171992,9.407743164047131e-06
77.233,28.531,-3.129362539766589e-06,-2.8352731533232145e-05,3.890451353072422e-06,-3.826816737273475e-06
77.244,28.531,0.0002192737156292,,7.614547484990908e-06,1.4761661759621347e-06
77.254,28.531,-1.6544990444344879e-07,,0.0001312510867137,1.2030712923660758e-06
77.264,28.531,1.860510383266956e-05,-2.0408222553669475e-05,2.148588828276843e-05,1.7374823073623702e-05
77.275,28.531,-2.515302242045437e-07,,1.7034815755323507e-05,4.364667347545037e-06
77.285,28.531,1.9489534679451026e-06,8.02939302957384e-06,1.1170990546816029e-05,3.241110607632436e-05
